Year,State,Energy Price
1975,LA,2.01
1975,MA,2.74
1975,MD,2.39
1975,ME,2.55
1975,MI,2.44
1975,MN,2.31
1975,MO,2.4
1975,MS,1.86
1975,MT,2.0
1975,NC,2.37
1975,ND,2.16
1975,NE,2.09
1975,NH,2.56
1975,NJ,2.61
1975,NM,1.84
1975,NV,2.0
1975,NY,2.6
1975,OH,2.41
1975,OK,1.91
1975,OR,2.31
1975,PA,2.48
1975,RI,2.65
1975,SC,2.32
1975,SD,2.2
1975,TN,2.24
1975,TX,2.24
1975,US,2.43
1975,UT,2.03
1975,VA,2.36
1975,VT,2.62
1975,WA,2.26
1975,WI,2.39
1975,WV,2.05
1975,WY,1.99
1976,AK,2.42
1976,AL,2.28
1976,AR,2.32
1976,AZ,2.32
1976,CA,2.65
1976,CO,2.32
1976,CT,2.79
1976,DC,2.21
1976,DE,2.56
1976,FL,2.53
1976,GA,2.38
1976,HI,2.08
1976,IA,2.59
1976,ID,2.21
1976,IL,2.6
1976,IN,2.46
1976,KS,2.29
1976,KY,2.45
1976,LA,2.36
1976,MA,2.92
1976,MD,2.55
1976,ME,2.55
1976,MI,2.64
1976,MN,2.28
1976,MO,2.54
1976,MS,2.18
1976,MT,2.09
1976,NC,2.58
1976,ND,2.26
1976,NE,2.26
1976,NH,2.64
1976,NJ,2.84
1976,NM,1.84
1976,NV,2.03
1976,NY,2.79
1976,OH,2.55
1976,OK,2.12
1976,OR,2.46
1976,PA,2.53
1976,RI,2.71
1976,SC,2.52
1976,SD,2.26
1976,TN,2.34
1976,TX,2.54
1976,US,2.61
1976,UT,1.86
1976,VA,2.49
1976,VT,2.68
1976,WA,2.44
1976,WI,2.54
1976,WV,2.22
1976,WY,2.11
1977,AK,2.62
1977,AL,2.67
1977,AR,2.62
1977,AZ,2.53
1977,CA,2.97
1977,CO,2.37
1977,CT,3.12
1977,DC,2.6
1977,DE,2.89
1977,FL,2.73
1977,GA,2.77
1977,HI,2.36
1977,IA,2.96
1977,ID,2.61
1977,IL,2.93
1977,IN,2.66
1977,KS,2.71
1977,KY,2.83
1977,LA,2.54
1977,MA,3.25
1977,MD,2.84
1977,ME,2.9
1977,MI,2.98
1977,MN,2.69
1977,MO,2.86
1977,MS,2.55
1977,MT,2.19
1977,NC,2.98
1977,ND,2.69
1977,NE,2.58
1977,NH,3.12
1977,NJ,3.06
1977,NM,2.36
1977,NV,2.46
1977,NY,3.06
1977,OH,2.91
1977,OK,2.45
1977,OR,2.66
1977,PA,2.85
1977,RI,3.04
1977,SC,2.89
1977,SD,2.69
1977,TN,2.66
1977,TX,2.86
1977,US,2.96
1977,UT,2.17
1977,VA,2.97
1977,VT,3.12
1977,WA,2.62
1977,WI,2.97
1977,WV,2.58
1977,WY,2.2
1978,AK,2.57
1978,AL,2.9
1978,AR,2.8
1978,AZ,2.7
1978,CA,3.03
1978,CO,2.61
1978,CT,3.26
1978,DC,2.84
1978,DE,3.12
1978,FL,3.01
1978,GA,2.96
1978,HI,2.49
1978,IA,3.1
1978,ID,2.92
1978,IL,2.99
1978,IN,2.84
1978,KS,2.79
1978,KY,3.07
1978,LA,2.53
1978,MA,3.41
1978,MD,3.12
1978,ME,2.99
1978,MI,3.16
1978,MN,2.9
1978,MO,2.96
1978,MS,2.81
1978,MT,2.19
1978,NC,3.04
1978,ND,2.37
1978,NE,2.9
1978,NH,3.32
1978,NJ,3.35
1978,NM,2.46
1978,NV,2.58
1978,NY,3.25
1978,OH,3.04
1978,OK,2.59
1978,OR,2.87
1978,PA,2.98
1978,RI,3.23
1978,SC,3.05
1978,SD,2.9
1978,TN,2.88
1978,TX,2.86
1978,US,3.09
1978,UT,2.2
1978,VA,3.12
1978,VT,3.25
1978,WA,2.86
1978,WI,3.03
1978,WV,2.83
1978,WY,2.29
1979,AK,3.58
1979,AL,3.9
1979,AR,3.54
1979,AZ,3.37
1979,CA,4.01
1979,CO,3.22
1979,CT,4.13
1979,DC,3.48
1979,DE,3.95
1979,FL,3.98
1979,GA,3.95
1979,HI,3.79
1979,IA,3.84
1979,ID,3.31
1979,IL,3.92
1979,IN,3.77
1979,KS,3.52
1979,KY,3.93
